,times,F0(pitch),F1,F2,F3,F4,F5,filename
0,1.0065624999999998,,689.1408863296052,2013.0098762667185,3306.1217406226488,4727.353415313943,,enroll.wav
1,3.0065625,208.80547409133152,554.2961416757993,2099.6860819924095,2989.399500627356,3094.0715596310542,4512.347896828451,enroll.wav
0,0.861135416666666,,636.1232602984595,1569.1081783184745,2409.1575339639685,3949.3477240705015,,mix.wav
1,2.861135416666666,,717.5267939950558,1938.8289370289094,3143.5237221741804,4537.416493192195,,mix.wav
2,4.8611354166666665,194.92043181094795,357.2005704381766,1403.098482336907,2214.4503645727864,3904.8742457561175,,mix.wav
3,6.8611354166666665,,887.1067932257504,1957.7759377433706,3085.4958562731704,4283.240722044839,,mix.wav
0,0.2932083333333333,,1651.9679983859453,2194.996628894676,3270.5899689501393,4331.88033970126,,test.wav
1,2.2932083333333333,,1810.429641920382,2605.751842932174,3489.183761661838,4874.263055418949,,test.wav
2,4.293208333333333,,940.8487154637676,1900.297824768979,2706.468966053439,3819.6744970074806,4559.372305721386,test.wav
0,0.984,154.79701573873945,448.8117761117422,1575.7360311768098,2592.520485728441,3385.4813241874635,4554.902848304552,voice.wav
1,2.984,,690.5937430371729,1940.0242461789612,2076.1103530213963,3606.8680442666437,4910.281169301496,voice.wav
